modelo,sampler,auc_mean,auc_std,t_fit_mean,t_pred_mean,folds_validos
KDE Gauss (Silverman),under,0.920719261644088,0.009053652514136704,0.0006971399881877006,0.29567145999753847,5
GaussianNB,under,0.9004386092950647,0.008780486334368414,0.0003834799979813397,0.0007430600002408027,5
KDE Gauss (bw=0.6),under,0.8337343716185144,0.014209528382237605,0.002080620022024959,0.14147515998920426,5
"KDE Parzen (tophat, bw=0.8)",under,,,0.002125319989863783,0.05651001998921856,0
