modelo,threshold,TP,FP,FN,TN,acc,precision_1,recall_1,f1_1,roc_auc,pr_auc
GaussianNB@0.5,0.5,8,24,60,1908,0.958,0.25,0.11764705882352941,0.16,0.8468517841919377,0.24952439672137894
KDE-NB@0.5,0.5,14,5,54,1927,0.9705,0.7368421052631579,0.20588235294117646,0.3218390804597701,0.9053137559371575,0.5109123485042498
KDE-NB@opt(0.046),0.046,47,48,21,1884,0.9655,0.49473684210526314,0.6911764705882353,0.5766871165644172,0.9053137559371575,0.5109123485042498
