modelo,sampler,auc_mean,auc_std,t_fit_mean,t_pred_mean,folds_validos
KDE Gauss (Silverman),over,0.9223041584352718,0.015031818922203097,0.0015201399801298976,7.4730297200148925,5
GaussianNB,over,0.8999678188494047,0.012155247179157697,0.001769479992799461,0.0006391200236976147,5
KDE Gauss (bw=0.6),over,0.8430015440971083,0.020500710260775618,0.01727926000021398,4.514300519996323,5
"KDE Parzen (tophat, bw=0.8)",over,,,0.019953380001243203,0.7665063000051304,0
