model,AUC_mean,AUC_std,fit_mean_s,pred_mean_s
GNB,0.8676061162636364,0.03000949014878818,0.0016948799951933325,0.000801600026898086
KDE-NB,0.9222101283136057,0.011024703802057586,0.003810560004785657,5.334526679990813
