modelo,sampler,auc_mean,auc_std,t_fit_mean,t_pred_mean,folds_validos
KDE Gauss (Silverman),smote,0.9162970236969267,0.017213236857444355,0.0018941600108519196,8.07948917998001,5
KDE Gauss (bw=0.6),smote,0.9061330979829837,0.01800447696624677,0.017562820005696266,4.490179180004634,5
GaussianNB,smote,0.8828389449586205,0.026202213746632858,0.0019512200029566883,0.0006239400012418628,5
"KDE Parzen (tophat, bw=0.8)",smote,,,0.015072160004638135,0.7777100400067866,0
