modelo,sampler,auc_mean,auc_std,t_fit_mean,t_pred_mean,folds_validos
KDE Gauss (Silverman),none,0.9242962810135594,0.008555981444410792,0.0016864199889823795,3.7410958000225945,5
GaussianNB,none,0.9013416247679888,0.012057200705290434,0.0011548000038601458,0.0005460399901494384,5
KDE Gauss (bw=0.6),none,0.8430261208892349,0.02084859123047118,0.009935020003467798,2.5108711400069295,5
"KDE Parzen (tophat, bw=0.8)",none,,,0.009679239999968559,0.4272760399966501,0
